"No.","Time","Source","Destination","Protocol","Length","Info"
"5835","195.289000","2002:db8::212:7414:14:1414","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5836","195.293000","2002:db8::212:7414:14:1414","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5837","195.295000","2002:db8::212:7414:14:1414","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5838","195.296000","","","IEEE 802.15.4","7","Ack"
"5839","195.336000","00:12:74:03:00:03:03:03","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_03:00:03:03:03"
"5840","195.337000","","","IEEE 802.15.4","7","Ack"
"5841","195.343000","2002:db8::212:7414:14:1414","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5842","195.344000","","","IEEE 802.15.4","7","Ack"
"5843","199.602000","2002:db8::212:7407:7:707","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5844","199.603000","","","IEEE 802.15.4","7","Ack"
"5845","199.203000","2002:db8::212:740b:b:b0b","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5846","199.204000","","","IEEE 802.15.4","7","Ack"
"5847","199.409000","2002:db8::212:740d:d:d0d","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5848","199.412000","2002:db8::212:740d:d:d0d","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5849","199.415000","2002:db8::212:740d:d:d0d","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5850","199.416000","","","IEEE 802.15.4","7","Ack"
"5851","199.455000","00:12:74:03:00:03:03:03","00:12:74:01:00:01:01:01","6LoWPAN","106","Data, Dst: NitLab_01:00:01:01:01, Src: NitLab_03:00:03:03:03"
"5852","199.457000","","","IEEE 802.15.4","7","Ack"
"5853","199.463000","2002:db8::212:740d:d:d0d","2002:db8::1","UDP","36","Source port: 8775  Destination port: ggz"
"5854","199.464000","","","IEEE 802.15.4","7","Ack"
"5855","200.656000","2002:db8::212:7403:3:303","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5856","200.658000","","","IEEE 802.15.4","7","Ack"
"5857","200.148000","2002:db8::212:740c:c:c0c","2002:db8::1","UDP","89","Source port: 8775  Destination port: ggz"
"5858","200.150000","","","IEEE 802.15.4","7","Ack"
"5859","204.033000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5860","204.041000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5861","204.051000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5862","204.057000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5863","204.060000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5864","204.064000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5865","204.067000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5866","204.072000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5867","204.077000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5868","204.082000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5869","204.089000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5870","204.094000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5871","204.098000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5872","204.102000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5873","204.108000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5874","204.114000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5875","204.120000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5876","204.123000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5877","204.126000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5878","204.130000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5879","204.136000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5880","204.141000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5881","204.146000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5882","204.153000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5883","204.158000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5884","204.163000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
"5885","204.170000","fe80::212:7403:3:303","ff02::1a","ICMPv6","99","RPL Control (DODAG Information Object)"
